Team,OVR Rating,OFF Rating,DEF Rating
Ft. Zumwalt South,7.73,3.65,4.08
Rockwood Summit,6.27,2.63,3.64
Webster Groves,5.66,2.47,3.19
St. Michael the Archangel,5.63,2.92,2.70
St. Pius X (Kansas City),5.27,2.58,2.68
Ft. Zumwalt East,5.09,1.62,3.47
John Burroughs,4.83,1.91,2.92
Helias Catholic,4.68,2.33,2.35
MICDS,4.65,2.60,2.04
Kearney,4.55,3.80,0.75
Notre Dame de Sion,3.87,2.00,1.88
Mehlville,3.24,1.38,1.86
St. Charles,3.00,1.02,1.98
Parkway North,2.92,2.43,0.49
Summit Christian Academy,2.62,0.75,1.87
Washington,2.31,1.23,1.07
Notre Dame (St. Louis),2.26,1.14,1.12
Smithville,2.24,0.79,1.45
Windsor (Imperial),2.23,0.77,1.46
Capital City,2.21,1.42,0.79
Parkway Central,2.16,1.08,1.08
Marshall,2.14,1.42,0.72
Lincoln College Prep,2.07,0.90,1.17
Pacific,1.94,0.49,1.45
Villa Duchesne,1.94,0.69,1.26
Platte County,1.84,0.93,0.91
Hannibal,1.74,1.20,0.53
Holt,1.72,0.62,1.10
Festus,1.68,0.09,1.59
Hillsboro,0.61,-0.34,0.95
Webb City,0.38,0.51,-0.12
Poplar Bluff,0.31,0.81,-0.50
Sikeston,0.23,-0.02,0.25
Jefferson City,0.14,-0.59,0.73
Willard,-0.05,-0.66,0.61
Van Horn,-0.08,1.44,-1.52
Carl Junction,-0.26,-0.51,0.25
Union,-0.27,-1.01,0.73
Lutheran St. Charles,-0.33,0.39,-0.71
Bolivar,-0.43,-0.48,0.05
William Chrisman,-1.55,-0.00,-1.54
Whitfield,-1.65,-0.76,-0.89
Central (Cape Girardeau),-1.97,-0.84,-1.13
Camdenton,-2.87,-1.47,-1.40
Central (Springfield),-2.99,-1.93,-1.06
Warrenton,-3.58,-1.36,-2.22
Hillcrest,-3.71,-1.85,-1.86
Warrensburg,-4.21,-1.71,-2.50
Lebanon,-4.50,-2.68,-1.82
Belton,-4.73,-2.28,-2.45
Parkview,-4.82,-2.93,-1.89
Marshfield,-4.90,-3.28,-1.62
DeSoto,-5.05,-1.99,-3.06
West Plains,-5.10,-2.33,-2.77
East (Kansas City),-5.34,-3.12,-2.22
University City,-6.57,-2.46,-4.11
Grandview,-6.59,-2.69,-3.90
Hazelwood East,-7.33,-2.74,-4.59
Winnetonka,-7.84,-3.05,-4.78
McDonald County,-8.17,-3.34,-4.84
Raytown,-8.46,-3.44,-5.02
Raytown South,-8.86,-3.99,-4.87
Ruskin,-9.86,-3.50,-6.35
Gateway with Soldan International Studies,-10.74,-2.62,-8.12
