Team,OVR Rating,OFF Rating,DEF Rating
Affton,-3.29,-0.93,-2.35
Crocker,-3.52,-1.53,-1.99
Chillicothe,-3.56,-1.96,-1.60
Warrenton,-3.57,-1.35,-2.22
Hillcrest,-3.68,-1.84,-1.85
Benton,-3.72,-1.90,-1.82
Canton,-3.78,-1.58,-2.21
Laquey with Richland,-3.86,-2.17,-1.70
Rolla,-3.96,-1.58,-2.38
St. James,-4.17,-2.73,-1.44
Smithton,-4.20,-2.15,-2.05
Warrensburg,-4.21,-1.71,-2.50
Lebanon,-4.47,-2.66,-1.81
Bishop DuBourg,-4.67,-1.71,-2.96
California,-4.68,-3.18,-1.50
Belton,-4.73,-2.27,-2.46
Monett,-4.74,-2.50,-2.24
Parkview,-4.79,-2.91,-1.87
Valley Park,-4.83,-2.72,-2.11
Bayless,-4.84,-3.58,-1.27
Marshfield,-4.87,-3.26,-1.61
Stover with Cole Camp,-4.93,-2.80,-2.13
DeSoto,-5.04,-1.99,-3.05
Mexico,-5.07,-2.38,-2.68
West Plains,-5.08,-2.32,-2.76
Joplin,-5.09,-2.22,-2.87
East (Kansas City),-5.34,-3.12,-2.22
Gateway Science Charter,-5.42,-1.49,-3.93
New Heights Christian with McAuley Catholic,-5.48,-2.98,-2.49
Owensville,-5.58,-2.00,-3.58
Ritenour,-5.66,-2.47,-3.18
Odessa,-5.69,-2.66,-3.03
Sacred Heart,-5.85,-3.46,-2.39
Northland Christian,-5.93,-2.77,-3.16
STEAM Academy,-6.08,-3.16,-2.92
Fulton,-6.14,-2.16,-3.99
Liberty (Mountain View),-6.24,-3.38,-2.87
Fair Grove,-6.26,-2.79,-3.47
Lutheran North,-6.43,-2.85,-3.58
University City,-6.54,-2.45,-4.10
Hancock,-6.55,-3.29,-3.26
Knob Noster,-6.56,-3.50,-3.07
Grandview,-6.58,-2.69,-3.90
Cameron,-6.72,-3.06,-3.65
Cardinal Ritter,-6.80,-3.07,-3.73
Battle,-6.94,-2.22,-4.72
Fredericktown,-7.06,-2.46,-4.60
Lutheran (Kansas City),-7.06,-3.54,-3.52
St. Joseph Christian,-7.06,-4.36,-2.70
Greenwood,-7.22,-4.27,-2.95
Hazelwood East,-7.30,-2.75,-4.55
Center,-7.35,-3.18,-4.17
Winnetonka,-7.83,-3.05,-4.77
Aurora,-7.91,-3.73,-4.18
Ewing Marion Kauffman with University Academy Charter,-8.14,-3.58,-4.56
McDonald County,-8.14,-3.32,-4.82
Faith Christian Academy,-8.21,-4.26,-3.95
Raytown,-8.45,-3.43,-5.02
Fatima,-8.61,-3.20,-5.42
Raytown South,-8.86,-3.99,-4.86
Guadalupe Centers Charter,-9.08,-5.13,-3.95
Crossroads College Preparatory,-9.26,-4.05,-5.21
Paseo Academy,-9.50,-4.34,-5.16
Ruskin,-9.85,-3.49,-6.35
Lafayette (St. Joseph),-10.34,-4.53,-5.81
Gateway with Soldan International Studies,-10.43,-2.63,-7.80
McKinley Classical Leadership,-10.57,-3.74,-6.83
Dixon,-11.14,-3.89,-7.25
Jennings,-12.80,-5.00,-7.80
Cristo Rey,-13.20,-5.63,-7.57
