Team,OVR Rating,OFF Rating,DEF Rating
Pembroke Hill,3.46,1.51,1.95
Duchesne,3.31,1.12,2.19
Notre Dame (Cape Girardeau),1.88,0.77,1.11
Veritas Christian Academy,0.08,-0.42,0.49
Christian Fellowship Sr.,-0.64,0.38,-1.02
New Covenant Academy,-0.90,0.15,-1.05
Blair Oaks,-1.19,-1.19,-0.00
Brentwood,-1.54,-0.45,-1.09
Principia,-1.69,-0.79,-0.90
Mid-Buchanan,-1.83,-1.12,-0.71
Eugene,-2.04,-1.14,-0.90
Elsberry with Silex,-2.28,-1.46,-0.81
Lone Jack,-2.58,-0.96,-1.62
Collegiate School of Med-Bio Science,-3.15,-1.87,-1.27
Crocker,-3.57,-1.55,-2.02
Canton,-3.83,-1.59,-2.23
Laquey with Richland,-3.90,-2.18,-1.72
Smithton,-4.23,-2.16,-2.07
Bishop DuBourg,-4.71,-1.72,-2.99
California,-4.72,-3.20,-1.52
Valley Park,-4.91,-2.76,-2.15
New Heights Christian with McAuley Catholic,-5.52,-3.01,-2.51
Sacred Heart,-5.89,-3.48,-2.41
Northland Christian,-6.04,-2.83,-3.21
Fair Grove,-6.29,-2.81,-3.49
Liberty (Mountain View),-6.29,-3.40,-2.89
Lutheran North,-6.49,-2.88,-3.61
Hancock,-6.63,-3.32,-3.31
Cameron,-6.79,-3.09,-3.69
Lutheran (Kansas City),-7.11,-3.61,-3.50
St. Joseph Christian,-7.15,-4.42,-2.73
Greenwood,-7.26,-4.29,-2.97
Faith Christian Academy,-8.31,-4.32,-3.99
Fatima,-8.65,-3.21,-5.44
Crossroads College Preparatory,-9.35,-4.09,-5.26
McKinley Classical Leadership,-10.69,-3.81,-6.88
Dixon,-11.19,-3.91,-7.28
Cristo Rey,-13.28,-5.68,-7.60
