Team,OVR Rating,OFF Rating,DEF Rating
St. Vincent,5.77,3.89,1.88
Springfield Catholic,4.76,2.30,2.46
Westminster Christian Academy,4.74,2.12,2.63
Orchard Farm,4.36,1.81,2.55
Pleasant Hill,4.36,2.50,1.87
Clayton,3.65,1.49,2.16
St. Pius X (Festus),3.63,2.07,1.56
Logan-Rogersville,3.44,2.05,1.38
Southern Boone,2.71,2.06,0.65
Incarnate Word Academy,2.51,1.58,0.93
Visitation Academy,2.28,0.68,1.60
Harrisonville,1.77,1.54,0.23
Perryville,1.61,1.38,0.24
St. Francis Borgia,1.52,0.94,0.59
Metro,1.15,0.53,0.62
Maryville,1.12,0.51,0.60
Winfield,0.83,0.11,0.72
Kirksville,0.69,-0.12,0.80
Father Tolton,0.64,-0.04,0.68
Clinton,0.57,0.52,0.05
Sullivan,0.46,0.87,-0.41
Lutheran South,0.30,0.36,-0.05
St. Charles West,-0.15,-0.42,0.28
St. Clair,-0.43,-0.10,-0.33
Excelsior Springs,-0.81,-0.26,-0.55
Wright City,-0.95,-0.76,-0.18
Savannah,-1.13,-0.34,-0.80
Moberly,-1.28,-1.16,-0.13
Bishop LeBlond,-1.74,-0.62,-1.12
North County,-1.93,-1.19,-0.74
Maplewood-Richmond Hts.,-2.06,-0.69,-1.36
Saxony Lutheran,-2.20,-0.95,-1.25
Barstow,-2.35,-0.56,-1.79
Oak Grove,-2.52,-1.20,-1.31
Osage,-2.78,-1.23,-1.55
Boonville,-2.89,-2.12,-0.77
Cassville,-2.99,-1.97,-1.01
Affton,-3.36,-0.97,-2.39
Chillicothe,-3.50,-1.93,-1.58
Benton,-3.64,-1.85,-1.79
St. James,-4.26,-2.77,-1.49
Monett,-4.86,-2.56,-2.30
Bayless,-4.89,-3.61,-1.28
Stover with Cole Camp,-4.98,-2.82,-2.16
Mexico,-5.13,-2.41,-2.72
Gateway Science Charter,-5.52,-1.58,-3.94
Odessa,-5.63,-2.63,-2.99
Owensville,-5.67,-2.05,-3.62
STEAM Academy,-6.15,-3.20,-2.95
Fulton,-6.21,-2.18,-4.03
Knob Noster,-6.49,-3.47,-3.03
Cardinal Ritter,-6.90,-3.14,-3.76
Fredericktown,-7.17,-2.51,-4.66
Center,-7.25,-3.14,-4.11
Aurora,-8.04,-3.80,-4.24
Ewing Marion Kauffman with University Academy Charter,-8.04,-3.52,-4.51
Guadalupe Centers Charter,-8.98,-5.07,-3.91
Paseo Academy,-9.41,-4.31,-5.11
Lafayette (St. Joseph),-10.25,-4.48,-5.77
Jennings,-12.90,-5.03,-7.87
